MeetDate,MeetStart,HomeTeam,VisitingTeam,SwimCourse,MeetName,Location,MeetTemplateID,Team3,Team4
6/16/2025,6:00 PM,MBKMT,COL,SCM,,,17226,,
6/16/2025,6:00 PM,WPPIR,WO,SCM,,,17226,,
6/23/2025,6:00 PM,WO,RMMR,SCM,,,17226,,
6/23/2025,6:00 PM,WPPIR,MBKMT,SCM,,,17226,,
6/23/2025,6:00 PM,POQ,COL,SCM,,,17226,,
6/26/2025,6:00 PM,RMMR,WPPIR,SCM,,,17226,,
6/26/2025,6:00 PM,MBKMT,POQ,SCM,,,17226,,
6/26/2025,6:00 PM,COL,WO,SCM,,,17226,,
7/7/2025,6:00 PM,MBKMT,RMMR,SCM,,,17226,,
7/7/2025,6:00 PM,POQ,WO,SCM,,,17226,,
7/7/2025,6:00 PM,COL,WPPIR,SCM,,,17226,,
7/10/2025,6:00 PM,RMMR,POQ,SCM,,,17226,,
7/14/2025,6:00 PM,RMMR,COL,SCM,,,17226,,
7/14/2025,6:00 PM,WO,MBKMT,SCM,,,17226,,
7/14/2025,6:00 PM,WPPIR,POQ,SCM,,,17226,,
