MeetDate,MeetStart,HomeTeam,VisitingTeam,SwimCourse,MeetName,Location,MeetTemplateID,Team3,Team4
6/16/2025,6:00 PM,GG,WW,SCM,,,17226,,
6/16/2025,6:00 PM,HW,CV,SCM,,,17226,,
6/16/2025,6:00 PM,WYCC,GWRA,SCM,,,17226,,
6/23/2025,6:00 PM,WW,HW,SCM,,,17226,,
6/23/2025,6:00 PM,GWRA,CV,SCM,,,17226,,
6/23/2025,6:00 PM,GG,WYCC,SCM,,,17226,,
6/26/2025,6:00 PM,HW,GG,SCM,,,17226,,
6/26/2025,6:00 PM,CV,WW,SCM,,,17229,,
7/7/2025,6:00 PM,WYCC,HW,SCM,,,17226,,
7/7/2025,6:00 PM,GWRA,WW,SCM,,,17226,,
7/10/2025,6:00 PM,CV,WYCC,SCM,,,17229,,
7/10/2025,6:00 PM,GWRA,GG,SCM,,,17226,,
7/14/2025,6:00 PM,WW,WYCC,SCM,,,17226,,
7/14/2025,6:00 PM,GG,CV,SCM,,,17226,,
7/14/2025,6:00 PM,HW,GWRA,SCM,,,17226,,
